id,order_date,operation_type,created_by,created_at,details,metadata
866,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T13:29:59.045Z,Order #1784381228256 completed: upi,"{""orderId"":1784381228256,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":80}"
867,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T13:30:06.601Z,Order #1784380943923 completed: upi,"{""orderId"":1784380943923,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":139}"
868,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T13:34:30.366Z,"Order #1784381669617 created: 12 items, ₹278.00, upi","{""orderId"":1784381669617,""itemCount"":12,""totalAmount"":278,""paymentMethod"":""upi"",""orderType"":""pack""}"
869,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T13:40:30.803Z,"Order #1784382030085 created: 3 items, ₹50.00, upi","{""orderId"":1784382030085,""itemCount"":3,""totalAmount"":50,""paymentMethod"":""upi"",""orderType"":""dine""}"
870,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T13:40:37.140Z,"Order #1784382036474 created: 6 items, ₹89.00, upi","{""orderId"":1784382036474,""itemCount"":6,""totalAmount"":89,""paymentMethod"":""upi"",""orderType"":""pack""}"
871,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T13:40:40.227Z,Order #1784381669617 completed: upi,"{""orderId"":1784381669617,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":278}"
872,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T13:40:42.084Z,Order #1784382036474 completed: upi,"{""orderId"":1784382036474,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":89}"
873,2026-07-18T00:00:00.000Z,order_complete,1,2026-07-18T13:40:46.577Z,Order #1784382030085 completed: upi,"{""orderId"":1784382030085,""paymentMethod"":""upi"",""cashAmount"":0,""upiAmount"":0,""totalAmount"":50}"
874,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T13:42:01.602Z,"Order #1784382120865 created: 3 items, ₹60.00, pending","{""orderId"":1784382120865,""itemCount"":3,""totalAmount"":60,""paymentMethod"":""pending"",""orderType"":""dine""}"
875,2026-07-18T00:00:00.000Z,order_create,1,2026-07-18T13:56:13.387Z,"Order #1784382972774 created: 6 items, ₹139.00, upi","{""orderId"":1784382972774,""itemCount"":6,""totalAmount"":139,""paymentMethod"":""upi"",""orderType"":""dine""}"
